Feature,Normalized.Dispersion
ENSG00000238009,NaN
ENSG00000241860,-0.6970350435806084
ENSG00000286448,NaN
ENSG00000237491,3.933683608615901
ENSG00000177757,NaN
ENSG00000228794,-1.9265197737478177
ENSG00000225880,2.7611571991633297
ENSG00000230368,-0.8209560282300371
ENSG00000230699,0.6650753395662189
ENSG00000241180,NaN
ENSG00000223764,3.6636650855505586
ENSG00000187634,-1.0307733446711551
ENSG00000188976,5.360429596666266
ENSG00000187961,0.7676940296430853
ENSG00000187583,1.397116486082571
ENSG00000187642,-0.023071287478446965
ENSG00000272512,0.15118089060239834
ENSG00000188290,-1.7187670642919701
ENSG00000187608,-0.0013026250688569412
ENSG00000188157,0.2779360892874615
ENSG00000131591,1.6548047645026007
ENSG00000186891,0.17206430826373809
ENSG00000186827,-0.8091638405413023
ENSG00000078808,-0.799206440657973
ENSG00000176022,-2.1734367891436226
ENSG00000184163,0.01013432443081663
ENSG00000160087,-0.31237503312576864
ENSG00000230415,NaN
ENSG00000162572,4.369055839374945
ENSG00000131584,1.095889022198645
ENSG00000169972,-0.5494699488820807
ENSG00000127054,1.6942806610870906
ENSG00000224051,-1.72955362980658
ENSG00000107404,-1.510492238878983
ENSG00000162576,2.7048991968797726
ENSG00000175756,-0.36924801365915955
ENSG00000221978,1.6149411173149977
ENSG00000224870,0.1212259453982156
ENSG00000242485,1.160365211919712
ENSG00000272455,0.7396297036572512
ENSG00000235098,4.912125485110965
ENSG00000179403,-0.9503639406280651
ENSG00000215915,-0.8154787755028101
ENSG00000160072,-1.8493291800296436
ENSG00000197785,0.4835379206874279
ENSG00000205090,-1.2348184423798125
ENSG00000160075,-0.40159181755638285
ENSG00000215014,-0.3790615190104524
ENSG00000228594,-1.507259680087361
ENSG00000286989,NaN
ENSG00000272106,2.880827436988468
ENSG00000197530,0.06377511691137522
ENSG00000189409,-1.4946464009431748
ENSG00000248333,3.7017403855921485
ENSG00000272004,2.639978964197622
ENSG00000189339,0.7640613631261972
ENSG00000008128,2.274675130412078
ENSG00000215790,1.5605204322215795
ENSG00000008130,-2.0319665172286547
ENSG00000078369,-1.5273726155542842
ENSG00000231050,-1.2665288014322844
ENSG00000169885,NaN
ENSG00000178821,0
ENSG00000067606,-0.6897116603105632
ENSG00000182873,-0.8447644118983578
ENSG00000162585,-1.9814900956523447
ENSG00000234396,NaN
ENSG00000157933,0.3183981287210807
ENSG00000287356,3.3752935160284885
ENSG00000116151,-1.316982634376261
ENSG00000272420,-0.061558694456726244
ENSG00000157916,1.3701743381933482
ENSG00000157911,-1.0059728094484603
ENSG00000157881,0.4200531975032219
ENSG00000272449,4.935634807477076
ENSG00000238164,-0.2612815670278901
ENSG00000157873,-0.7222191462522203
ENSG00000157870,-2.084141184180895
ENSG00000142606,NaN
ENSG00000215912,-1.3040607530879156
ENSG00000177133,NaN
ENSG00000287828,NaN
ENSG00000130762,NaN
ENSG00000162591,1.201229733940249
ENSG00000238260,0.5131422288608267
ENSG00000158109,-2.410690825947047
ENSG00000116213,0.1326790425495688
ENSG00000162592,NaN
ENSG00000235169,-2.387377167343199
ENSG00000130764,0.4854133560497679
ENSG00000272153,NaN
ENSG00000116198,-0.23338939013418641
ENSG00000169598,1.2233048108818307
ENSG00000198912,-1.2005059083016711
ENSG00000236423,-0.10352918722328737
ENSG00000131697,-0.870164740662022
ENSG00000069424,-1.0823444092521592
ENSG00000116251,-1.7459187837286316
ENSG00000226944,-0.7345075861104141
ENSG00000158286,-0.6462278164150849
ENSG00000116237,-1.2818784080905605
ENSG00000225077,-1.0832044504800555
ENSG00000158292,0.20223140927042224
ENSG00000097021,0.2721932989768291
ENSG00000271746,1.5708619958515324
ENSG00000069812,NaN
ENSG00000187017,NaN
ENSG00000215788,1.4149246677820941
ENSG00000171680,-1.330735155723878
ENSG00000162408,-1.0628072326002092
ENSG00000204859,-0.723728729139571
ENSG00000162413,0.7349313071004608
ENSG00000116273,1.1944603695789047
ENSG00000041988,-1.3765892689180128
ENSG00000007923,-0.5868081720255633
ENSG00000171735,-1.5863929164420807
ENSG00000237402,NaN
ENSG00000049245,0.1365308706558832
ENSG00000269925,0.49463529365342285
ENSG00000049246,0.3243820214388289
ENSG00000116288,-0.6836523325235425
ENSG00000284747,0.8090478766841258
ENSG00000284716,2.281081910565414
ENSG00000116285,-1.6557233689525614
ENSG00000162426,-0.05403860565851677
ENSG00000142599,1.1635069093778794
ENSG00000232912,-1.0089351139411638
ENSG00000074800,0.2769008215543279
ENSG00000230679,1.9751162633272243
ENSG00000142583,4.387603083718628
ENSG00000180758,-1.276516586221645
ENSG00000228526,2.832005406055811
ENSG00000234546,1.4484002350159209
ENSG00000049239,1.179202826471573
ENSG00000171621,-1.526493657543709
ENSG00000284652,NaN
ENSG00000284693,-1.4015374930756814
ENSG00000171612,-1.5632642430657813
ENSG00000188807,-1.3767147448211565
ENSG00000171608,-1.3770948456984813
ENSG00000231789,1.1535604457293964
ENSG00000171603,-0.14163718033238587
ENSG00000178585,-1.305660010268353
ENSG00000162441,-1.028349925622037
ENSG00000228150,NaN
ENSG00000173614,-0.4975826990402035
ENSG00000162444,-0.9372844328939217
ENSG00000130939,-1.282775616294267
ENSG00000054523,-0.19942045833559996
ENSG00000284735,8.3075543211548
ENSG00000284642,0.7995430202957802
ENSG00000142657,1.115779126358439
ENSG00000175279,-2.340708316458664
ENSG00000241563,-1.2564823588243332
ENSG00000160049,-1.1471466003502409
ENSG00000203469,NaN
ENSG00000142655,0.9812646910384406
ENSG00000130940,0.5514837842905544
ENSG00000120948,0.3708078234622433
ENSG00000271895,0.8922909730596807
ENSG00000116649,-1.828244420676866
ENSG00000171824,1.4101313741406392
ENSG00000226849,0.2948564939975784
ENSG00000230337,-0.3480163405978142
ENSG00000198793,-2.011281933900078
ENSG00000120942,-1.2825918619835466
ENSG00000116661,-1.2099791510380133
ENSG00000132879,0.3105763206242168
ENSG00000116663,0.32821775764984606
ENSG00000116670,-0.9638652127035428
ENSG00000162490,NaN
ENSG00000177674,0.07769018030690011
ENSG00000215910,-0.9204180605170776
ENSG00000177000,0
ENSG00000011021,1.2423471537865942
ENSG00000120937,-5.135201887000238
ENSG00000285646,-0.8802918754684718
ENSG00000116685,-1.6202824032762606
ENSG00000083444,1.867577043177427
ENSG00000116688,1.420217782400994
ENSG00000116691,-1.2618197141329925
ENSG00000028137,-2.2072121970237624
ENSG00000048707,0.08061740185494136
ENSG00000162496,-0.2058885207158243
ENSG00000272482,0.37631584052010913
ENSG00000204518,NaN
ENSG00000162493,-1.0232462226743797
ENSG00000116731,0.527797541947996
ENSG00000189337,-0.10184379424280723
ENSG00000287756,NaN
ENSG00000175147,-0.08311406728222116
ENSG00000171729,-0.942690408286319
ENSG00000142634,-1.6681255943692002
ENSG00000132906,-0.5354364650958287
ENSG00000116138,2.4121104223806045
ENSG00000116771,2.8832469956467675
ENSG00000237301,NaN
ENSG00000197312,1.3570051879012877
ENSG00000271742,NaN
ENSG00000116786,0.05407252834351735
ENSG00000162461,6.432391291835556
ENSG00000224459,-0.7811800607263389
ENSG00000162458,0.23862230832802947
ENSG00000233954,1.610553907754905
ENSG00000179743,-0.4598176244861938
ENSG00000065526,-0.5872485930202395
ENSG00000116809,1.990925709768197
ENSG00000173641,0.03214060472517931
ENSG00000184908,5.911150338912763
ENSG00000185519,-0.9747297890941237
ENSG00000142627,-0.28279077267331426
ENSG00000227959,NaN
ENSG00000142632,-1.3482605842300261
ENSG00000288398,-0.06654862611964962
ENSG00000132881,-1.5562359909879468
ENSG00000037637,1.560027750911366
ENSG00000055070,-1.3759977870593962
ENSG00000187144,NaN
ENSG00000157191,0.2879988668927742
ENSG00000226029,1.7308423133766047
ENSG00000261135,-0.7181768374945761
ENSG00000224174,NaN
ENSG00000219481,-0.9482720970670465
ENSG00000058453,-0.45157593024222875
ENSG00000228549,NaN
ENSG00000238142,5.0975675056486365
ENSG00000272426,7.153413409515913
ENSG00000117122,0.6499706377254729
ENSG00000159363,1.8532924111502513
ENSG00000117118,-0.9186875836289795
ENSG00000204362,NaN
ENSG00000142623,0.28366370242135674
ENSG00000179051,-1.2841693906627705
ENSG00000074964,0.5310991514193381
