Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000238009,AL627309.1,0.0005464166230724993,-2.51066031042643,1,0,2.51066031042643,1
ENSG00000241860,AL627309.5,0.003824916361507495,-1.1887322155390683,0.9405276018054759,0.004691517311831646,1.1887322155390683,0.9405276018054759
ENSG00000286448,AP006222.2,0.00027320831153624964,-3.095622811147586,1,0,3.095622811147586,1
ENSG00000237491,LINC01409,0.004371332984579994,-2.3300880647846105,0.27839457964655556,0.018766069247326583,2.3300880647846105,0.27839457964655556
ENSG00000177757,FAM87B,0.00027320831153624964,-3.095622811147586,1,0,3.095622811147586,1
ENSG00000228794,LINC01128,0.02923328933437871,2.6592646910158813,0.12736146763646602,0,-2.6592646910158813,0.12736146763646602
ENSG00000225880,LINC00115,0.005464166230724993,-1.7033053883688263,0.45997665241618607,0.014074551935494936,1.7033053883688263,0.45997665241618607
ENSG00000230368,FAM41C,0.0016392498692174978,-1.2882678890899824,1,0,1.2882678890899824,1
ENSG00000230699,AL645608.2,0.0027320831153624966,-2.2211536932314457,0.4237578706868684,0.009383034623663291,2.2211536932314457,0.4237578706868684
ENSG00000241180,AL645608.4,0.00027320831153624964,-3.095622811147586,1,0,3.095622811147586,1
ENSG00000223764,LINC02593,0.019397790119073725,-1.095622811147587,0.47142277574592045,0.037532138494653165,1.095622811147587,0.47142277574592045
ENSG00000187634,SAMD11,0.06365753658794616,-0.03261301362178637,1,0.060989725053811394,0.03261301362178637,1
ENSG00000188976,NOC2L,0.18605486015618602,-1.6245093874626542,0.0016185872611403347,0.5723651120434607,1.6245093874626542,0.0016185872611403347
ENSG00000187961,KLHL17,0.010655124149913736,-1.581049638317828,0.2742430594620033,0.028149103870989872,1.581049638317828,0.2742430594620033
ENSG00000187583,PLEKHN1,0.005737374542261243,-2.2211536932314457,0.19812614175992435,0.02345758655915823,2.2211536932314457,0.19812614175992435
ENSG00000187642,PERM1,0.0027320831153624966,-1.6361911925102897,0.8283910751214157,0.004691517311831646,1.6361911925102897,0.8283910751214157
ENSG00000272512,AL645608.7,0.0013660415576812483,-1.51066031042643,1,0,1.51066031042643,1
ENSG00000188290,HES4,0.26282639569787214,0.38950442199377444,0.9589190181194877,0.1970437270969291,-0.38950442199377444,0.9589190181194877
ENSG00000187608,ISG15,0.7032381938943066,0.10545088886538967,1,0.6521209063445987,-0.10545088886538967,1
ENSG00000188157,AGRN,0.06174507840719242,-1.5170018373002576,0.015696179281585048,0.17358614053777088,1.5170018373002576,0.015696179281585048
ENSG00000131591,C1orf159,0.02349591479211747,-0.652679315298859,0.7184888138072906,0.03284062118282152,0.652679315298859,0.7184888138072906
ENSG00000186891,TNFRSF18,0.0019124581807537476,-2.680585311868742,0.3255902301834207,0.009383034623663291,2.680585311868742,0.3255902301834207
ENSG00000186827,TNFRSF4,0.004371332984579994,-0.008159969897247876,1,0,0.008159969897247876,1
ENSG00000078808,SDF4,0.6975008193520453,-0.21170822908158776,0.8343788878409596,0.806940977635043,0.21170822908158776,0.8343788878409596
ENSG00000176022,B3GALT6,0.08851949293774489,0.24867309676823002,1,0.07037275967747468,-0.24867309676823002,1
ENSG00000184163,C1QTNF12,0.007376624411478741,-2.095622811147586,0.10708335522133759,0.028149103870989872,2.095622811147586,0.10708335522133759
ENSG00000160087,UBE2J2,0.3193805161858758,0.03058081286540726,1,0.3096401425808886,-0.03058081286540726,1
ENSG00000230415,LINC01786,0.0005464166230724993,-2.51066031042643,1,0,2.51066031042643,1
ENSG00000162572,SCNN1D,0.002458874803826247,-2.3586572169813804,0.43046134682854825,0.009383034623663291,2.3586572169813804,0.43046134682854825
ENSG00000131584,ACAP3,0.0748590773609324,-1.546923854413202,0.011117574423555366,0.2158097963442557,1.546923854413202,0.011117574423555366
ENSG00000169972,PUSL1,0.12540261499513858,0.5019397263532026,0.853160461538324,0.08444731161296962,-0.5019397263532026,0.853160461538324
ENSG00000127054,INTS11,0.1303203646027911,-0.7183179592238513,0.32953446536600356,0.21111827903242406,0.7183179592238513,0.32953446536600356
ENSG00000224051,CPTP,0.06912170281867117,0.5711337807372163,0.8164096606263895,0.04222365580648481,-0.5711337807372163,0.8164096606263895
ENSG00000107404,DVL1,0.037702746992002455,-0.8835723340325976,0.37568794095479907,0.06568124236564304,0.8835723340325976,0.37568794095479907
ENSG00000162576,MXRA8,0.7362963995901928,-0.765107220423501,0.1837063278265588,1.2526351222590493,0.765107220423501,0.1837063278265588
ENSG00000175756,AURKAIP1,1.7173874463168652,0.7216333367105672,0.5109150002205959,1.0415168432266253,-0.7216333367105672,0.5109150002205959
ENSG00000221978,CCNL2,0.17239444457937353,-1.637332113914859,0.0013714137089643253,0.5348329735488075,1.637332113914859,0.0013714137089643253
ENSG00000224870,MRPL20-AS1,0.06529678645716366,-0.09562281114758653,1,0.06568124236564304,0.09562281114758653,1
ENSG00000242485,MRPL20,0.9737144223151938,0.4656588108585848,0.8246371553296269,0.7037275967747468,-0.4656588108585848,0.8246371553296269
ENSG00000272455,AL391244.2,0.0010928332461449986,-1.7736947162602243,1,0,1.7736947162602243,1
ENSG00000235098,ANKRD65,0.0035517080499712457,-1.2882678890899824,0.7968506918187019,0.004691517311831646,1.2882678890899824,0.7968506918187019
ENSG00000179403,VWA1,0.007103416099942491,0.6592646910158813,1,0,-0.6592646910158813,1
ENSG00000215915,ATAD3C,0.0019124581807537476,-1.095622811147586,1,0,1.095622811147586,1
ENSG00000160072,ATAD3B,0.044532954780408696,-0.1975024251668005,1,0.04691517311831646,0.1975024251668005,1
ENSG00000197785,ATAD3A,0.07567870229554115,-0.5616442391452354,0.5734610581205515,0.10790489817212785,0.5616442391452354,0.5734610581205515
ENSG00000205090,TMEM240,0.020490623365218723,0.5673422015748422,0.8841832220091331,0.009383034623663291,-0.5673422015748422,0.8841832220091331
ENSG00000160075,SSU72,1.1854508637557872,1.1052134668224136,0.22427476435672009,0.5489075254843025,-1.1052134668224136,0.22427476435672009
ENSG00000215014,AL645728.1,0.006556999476869991,-1.0367291220940187,0.7886588793704707,0.009383034623663291,1.0367291220940187,0.7886588793704707
ENSG00000228594,FNDC10,0.019397790119073725,1.0743021902947252,0.5799277340428128,0.004691517311831646,-1.0743021902947252,0.5799277340428128
ENSG00000286989,AL691432.4,0.00027320831153624964,-3.095622811147586,1,0,3.095622811147586,1
ENSG00000272106,AL691432.2,0.012567582330667484,-0.862962054357312,0.6566805853101298,0.018766069247326583,0.862962054357312,0.6566805853101298
ENSG00000197530,MIB2,0.09999424202226738,-0.09954851436138723,1,0.1032133808602962,0.09954851436138723,1
ENSG00000189409,MMP23B,0.09425686748000613,1.531650494431534,0.1901890588855054,0.028149103870989872,-1.531650494431534,0.1901890588855054
ENSG00000248333,CDK11B,0.07731795216475865,-1.405307310280202,0.03405303673788621,0.20173524440876076,1.405307310280202,0.03405303673788621
ENSG00000272004,FO704657.1,0.0008196249346087489,-2.095622811147586,1,0,2.095622811147586,1
ENSG00000189339,SLC35E2B,0.07158057762249741,-0.9635944174638027,0.21828341696696948,0.1360540020431177,0.9635944174638027,0.21828341696696948
ENSG00000008128,CDK11A,0.08933911787235364,-1.4385105246705954,0.023502487075343914,0.23926738290341393,1.4385105246705954,0.023502487075343914
ENSG00000215790,SLC35E2A,0.028140456088233713,-1.095622811147586,0.3077324255984369,0.056298207741979744,1.095622811147586,0.3077324255984369
ENSG00000008130,NADK,0.09343724254539738,-0.06587546775353514,1,0.09383034623663292,0.06587546775353514,1
ENSG00000078369,GNB1,0.5346686656764406,0.6497176795760911,0.6085079189268316,0.33778924645187847,-0.6497176795760911,0.6085079189268316
ENSG00000231050,AL109917.1,0.0016392498692174978,-1.2882678890899824,1,0,1.2882678890899824,1
ENSG00000169885,CALML6,0.0005464166230724993,-2.51066031042643,1,0,2.51066031042643,1
ENSG00000178821,TMEM52,0.0013660415576812483,-1.51066031042643,1,0,1.51066031042643,1
ENSG00000067606,PRKCZ,0.00792304103455124,-0.18873221553906827,1,0.004691517311831646,0.18873221553906827,1
ENSG00000182873,PRKCZ-AS1,0.004098124673043745,-0.09562281114758697,1,0,0.09562281114758697,1
ENSG00000162585,FAAP20,0.8709880971775639,1.0041067599966427,0.28742547308218647,0.4316195926885114,-1.0041067599966427,0.28742547308218647
ENSG00000234396,AL590822.1,0.00027320831153624964,-3.095622811147586,1,0,3.095622811147586,1
