Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000238009,AL627309.1,0.0008393988998382744,0.9087469073684211,0.914872641827305,0,-0.5160880829460694,1,0,3.6487142366922107,1,0,3.1276641488763977,1
ENSG00000241860,AL627309.5,0.00461669394911051,0.5868188124810603,0.8778940792848287,0.0023999884934795073,-0.631565300366006,0.8758864621353455,0,1.2336767374133677,1,0.007073691449512065,1.8057360539890341,0.827873617353258
ENSG00000286448,AP006222.2,0,-1.676215593352735,0.8239656839831039,0.0007999961644931691,2.0688744177750866,0.7671138626307004,0,4.233676737413367,1,0,3.7126266495975537,1
ENSG00000237491,LINC01409,0.004196994499191372,-0.676215593352735,0.854801204737951,0.003999980822465846,-0.3461630815037573,1,0.03020262456634319,3.0637517359710547,0.80940311388904,0.01414738289902413,2.0496616368751237,0.5008951258628587
ENSG00000177757,FAM87B,0.0004196994499191372,0.32378440664726504,1,0,0.06887441777508663,1,0,4.233676737413367,1,0,3.7126266495975537,1
ENSG00000228794,LINC01128,0.025181966995148235,-0.33044075651100435,0.8239656839831039,0.03679982356668578,0.6692669590658475,0.3744792540420917,0,-1.5212107647501014,1,0.007073691449512065,-1.0288403368035937,0.7669526623605024
ENSG00000225880,LINC00115,0.00461669394911051,-0.7916928107726697,0.8239656839831039,0.0063999693159453525,0.23879941921739878,1,0.020135083044228792,2.3592076194972265,1,0.01414738289902413,1.8381575316814116,0.5505576874576601
ENSG00000230368,FAM41C,0.0012590983497574118,-0.676215593352735,0.9944245080610222,0.0023999884934795073,1.0688744177750866,0.8443790111814697,0,2.426321815355763,1,0,1.9052717275399482,1
ENSG00000230699,AL645608.2,0.0033575955993530976,0.17178131320221546,1,0.0015999923289863381,-0.8055947001410546,0.8207108756325379,0,1.533237019272276,1,0.01414738289902413,2.8381575316814116,0.29422373290756226
ENSG00000241180,AL645608.4,0.0004196994499191372,0.32378440664726504,1,0,0.06887441777508663,1,0,4.233676737413367,1,0,3.7126266495975537,1
ENSG00000223764,LINC02593,0.019306174696280314,-0.20908958292543645,0.9930884359583599,0.01919990794783606,-0.09462431450779363,1,0.06040524913268638,1.8315782938420218,0.8553170094926511,0.021221074348536196,0.4458401089026518,1
ENSG00000187634,SAMD11,0.06169581913811317,-0.1106184174985092,0.9944245080610222,0.06799967398191938,0.1552891695925589,0.9490450898866803,0.06040524913268638,0.12814232324100994,1,0.05658953159609652,-0.018315156940882815,1
ENSG00000188976,NOC2L,0.16955857776733144,-0.658293685355472,0.06090432472197521,0.21839895290663516,0.11433844993145925,0.9678944164697374,0.5537147837162918,1.4922097510122203,0.4511367793959584,0.5022320929153566,1.3648822629060535,0.04496044352627865
ENSG00000187961,KLHL17,0.007134890648625333,-1.3642715870379938,0.11524466245038724,0.01759991561884972,1.0074738731109427,0.37815589197339683,0.020135083044228792,1.3592076194972265,1,0.02829476579804826,1.6422373217061548,0.3849624715247172
ENSG00000187583,PLEKHN1,0.003777295049272235,-1.5242124999076845,0.24454987355774802,0.00959995397391803,0.8624235403076597,0.7247339433170753,0.03020262456634319,2.6487142366922107,0.8553170094926511,0.01414738289902413,1.6537329605439846,0.6025438107726615
ENSG00000187642,PERM1,0.004196994499191372,1.7832160252845624,0.39617152673230005,0,-2.5160880829460694,0.22296172570621317,0,1.6487142366922107,1,0.007073691449512065,2.2531950309602555,0.7161699507592695
ENSG00000272512,AL645608.7,0.002098497249595686,1.9087469073684211,0.6298956865175079,0,-1.5160880829460694,0.6636593473818126,0,2.6487142366922107,1,0,2.1276641488763977,1
ENSG00000188290,HES4,0.2728046424474392,0.1986229254208567,0.8239656839831039,0.24479882633490974,-0.11817938223017088,0.9908252306220072,0.22148591348651672,-0.1838089128702003,1,0.1839159776873137,-0.4676508978426732,1
ENSG00000187608,ISG15,0.6094036012825873,-0.472892800702442,0.19028353473341994,0.8783957886134997,0.5126386059725224,0.16266431756369135,0.865808570901838,0.31687067293976645,1,0.5446742416124289,-0.3666529874047586,1
ENSG00000188157,AGRN,0.06631251308722368,-0.09125309263157799,1,0.053599743021042326,-0.4657145604309507,0.5265869816534869,0.11074295674325836,0.8356456634402138,1,0.19098966913682575,1.6312383227568978,0.02925205020263984
ENSG00000131591,C1orf159,0.023503169195471685,-0.09125309263157799,1,0.02399988493479507,0.02307072816196154,1,0.03020262456634319,0.7258820972146713,1,0.02829476579804826,0.5427016481552407,0.9088043539944102
ENSG00000186891,TNFRSF18,0.0008393988998382744,-2.091253092631579,0.2804557924297179,0.003999980822465846,1.331908823608881,0.6289545007169868,0,1.911748642526005,1,0.01414738289902413,3.29758915031871,0.217083843779174
ENSG00000186827,TNFRSF4,0.0033575955993530976,-0.676215593352735,0.8864156946835479,0.0063999693159453525,1.0688744177750866,0.6694158444447129,0,1.1462138961630277,1,0,0.6251638083472137,1
ENSG00000078808,SDF4,0.6589281363730455,-0.2336738105592167,0.754820589512998,0.7719962987359081,0.20257460277965061,0.774536549016642,0.6845928235037789,-0.033924195084637954,1,0.8629903568404719,0.30862742177115765,0.7590633723538708
ENSG00000176022,B3GALT6,0.08142169328431262,-0.2587098384831408,0.8164851240946982,0.10239950905512564,0.35218121863514096,0.6369715396919287,0.05033770761057198,-0.5693780472106114,1,0.08488429739414478,0.05551436312056213,1
ENSG00000184163,C1QTNF12,0.005036393399029647,-1.4352074938489396,0.09377294209171592,0.011999942467397535,0.8209469043314996,0.6234082148773794,0.010067541522114396,1.1892826180549134,1,0.035368457247560325,2.439608155191137,0.09625714108247442
ENSG00000160087,UBE2J2,0.25979395949994594,-0.6692178672279145,0.028177598954497927,0.4375979019777635,0.7385463280313214,0.01849220951952484,0.3523639532740038,0.17358130315004572,1,0.2405055092834102,-0.38931151416866583,1
ENSG00000230415,LINC01786,0.0008393988998382744,0.9087469073684211,0.914872641827305,0,-0.5160880829460694,1,0,3.6487142366922107,1,0,3.1276641488763977,1
ENSG00000162572,SCNN1D,0.0025181966995148236,-0.4538231720162855,0.9805867188123336,0.0015999923289863381,-0.668091176391119,0.982480757280502,0.010067541522114396,2.7742451187760704,1,0.01414738289902413,2.9756610554313463,0.3353232099950763
ENSG00000131584,ACAP3,0.07722469878512125,-0.24286621579694856,0.8239656839831039,0.06959966631090571,-0.3420586831710213,0.7425947746714165,0.16108066435383034,1.0684741462134584,0.8721805563350097,0.23343181783389813,1.6301644894055802,0.02649017439291929
ENSG00000169972,PUSL1,0.12213253992646893,-0.03328549436035377,1,0.13359935947035922,0.18042107042324362,0.8909782036938525,0.10067541522114395,-0.17725636353273977,1,0.06366322304560858,-0.8388893680304612,0.7336112794197133
ENSG00000127054,INTS11,0.11709614652743928,-0.4776699139706544,0.3132187517876257,0.15359926358268847,0.29064404823594847,0.7239336115377732,0.2013508304422879,0.6515795703866005,1,0.219284434934874,0.7701121442583134,0.3879402046325835
ENSG00000224051,CPTP,0.064214015837628,-0.19078876618249252,0.9119574314643314,0.07919962028482373,0.3551786029317272,0.6665234936352507,0.040270166088457585,-0.46120345538582397,1,0.04244214869707239,-0.48564297753872054,1
ENSG00000107404,DVL1,0.04238964444183286,0.29577003047766937,0.8239656839831039,0.027999865757260916,-0.6438436301444428,0.3729392803476785,0.020135083044228792,-0.41976550119055567,1,0.0990316802931689,1.500576172482564,0.10271989515514851
ENSG00000162576,MXRA8,0.6996389830152018,-0.31216202279269545,0.546079826552977,0.8047961414801281,0.1102943451550667,0.962661972908775,1.1275646504768124,0.5766033758906026,1,1.2520433865636356,0.7443805379626982,0.2889630043694697
ENSG00000175756,AURKAIP1,1.5193120087072767,-0.3503976204411722,0.42298798396452564,2.100789927959062,0.5051189110002404,0.15261572190350536,1.1074295674325836,-0.6155381472982541,1,1.075201100325834,-0.6641158808031208,0.8114600794001517
ENSG00000221978,CCNL2,0.1724964739167654,-0.3777323515146507,0.4796179469996529,0.16799919454356552,-0.2761155839755012,0.7671138626307004,0.4228367439288046,1.2005098734781685,0.7026208748491004,0.5800426988599893,1.7126266495975535,0.005940891767633813
ENSG00000224870,MRPL20-AS1,0.06589281363730455,0.027652312637241216,1,0.0647996893239467,-0.008201805243555516,1,0.05033770761057198,-0.14136269393355771,1,0.07073691449512065,0.24132093067196392,1
ENSG00000242485,MRPL20,0.8721354569319671,-0.33138015696851797,0.483679557232321,1.1727943771469858,0.45245962767065917,0.24372054896192033,0.8154708632912661,-0.2361139622026645,1,0.6295585390065738,-0.6196834638169301,0.8661854067112272
ENSG00000272455,AL391244.2,0.0008393988998382744,-0.676215593352735,0.9783462620212172,0.0015999923289863381,1.0688744177750866,0.962661972908775,0,2.911748642526005,1,0,2.39069855471019,1
ENSG00000235098,ANKRD65,0.0033575955993530976,-0.31364551396802653,1,0.003999980822465846,0.33190882360888097,1,0.010067541522114396,2.426321815355763,1,0,0.8057360539890341,1
ENSG00000179403,VWA1,0.008393988998382744,0.908746907368422,0.6481086549785311,0.004799976986959015,-0.5160880829460703,0.8758864621353455,0,0.4787892352498986,1,0,-0.042260852565915386,1
ENSG00000215915,ATAD3C,0.0025181966995148236,1.1311393287048706,0.7848418624899476,0.0007999961644931691,-0.7384805042825171,0.8896490540872063,0,2.233676737413367,1,0,1.7126266495975537,1
ENSG00000160072,ATAD3B,0.03357595599353098,-0.8909544421457469,0.04262850452751526,0.0647996893239467,0.8872676112851376,0.060042693492341044,0.010067541522114396,-1.200951490223357,1,0.07781060594463271,0.9488609960876322,0.44258254908029604
ENSG00000197785,ATAD3A,0.05665942573908352,-0.9637921834493195,0.008062299173268096,0.11199946302904366,0.8775088920592631,0.030293913083294197,0.08054033217691517,0.2088448844334323,1,0.1202527546417051,0.7328045315351832,0.49736323490017786
ENSG00000205090,TMEM240,0.022244070845714274,0.4348157190360098,0.7848418624899476,0.01759991561884972,-0.21491854822550582,0.962661972908775,0,-1.051725481448881,1,0.01414738289902413,0.049661636875123705,1
ENSG00000160075,SSU72,1.1718008641742312,0.07007780296859092,1,1.215994170029617,0.11955130517473153,0.9416349625503899,0.6141200328489781,-0.9141026231489885,1,0.5871163903095014,-0.9897934326717799,0.5039297531390936
ENSG00000215014,AL645728.1,0.007134890648625333,0.17178131320221635,1,0.004799976986959015,-0.5160880829460703,0.8758864621353455,0.010067541522114396,1.533237019272275,1,0.01414738289902413,1.6537329605439846,0.6026279878392137
ENSG00000228594,FNDC10,0.022244070845714274,0.7567438139233724,0.4140046548666493,0.015199927125370213,-0.36408498950102075,0.8304740049800498,0,-0.9561478214666499,1,0,-1.4771979092824639,0.601401374483219
ENSG00000286989,AL691432.4,0.0004196994499191372,0.32378440664726504,1,0,0.06887441777508663,1,0,4.233676737413367,1,0,3.7126266495975537,1
ENSG00000272106,AL691432.2,0.014689480747169803,0.4937094080895781,0.9119574314643314,0.00879995780942486,-0.6680911763911199,0.797307788034463,0.03020262456634319,1.6487142366922107,1,0.007073691449512065,0.06877045982282848,1
ENSG00000197530,MIB2,0.09737027238123984,-0.10665019759008088,0.9836976359137203,0.09999952056164613,0.0017602219165486765,1,0.10067541522114395,0.1270543178795731,1,0.14854752043975336,0.6484963121778375,0.5284888467940364
ENSG00000189409,MMP23B,0.10744305917929912,0.7444464551199879,0.07366357211729234,0.06959966631090571,-0.5215425130381783,0.3805969293015673,0.040270166088457585,-0.8873386635479985,1,0.02829476579804826,-1.408388751363813,0.3831823976358143
ENSG00000248333,CDK11B,0.06673221253714282,-0.7466049212441326,0.08356527351365957,0.09519954357468711,0.27532529524251226,0.7686263327604733,0.2516885380528599,1.695711716229381,0.47328799594889026,0.16269490333877748,1.0496616368751241,0.24689575762503138
ENSG00000272004,FO704657.1,0.0004196994499191372,-1.261178094073891,0.9355054319941248,0.0015999923289863381,1.6538369184962427,0.7412230282216276,0,3.233676737413367,1,0,2.7126266495975537,1
ENSG00000189339,SLC35E2B,0.08058229438447435,0.2723852541406213,0.8239656839831039,0.05599973151452183,-0.5757943290703382,0.3571427201589518,0.10067541522114395,0.5535570036518709,1,0.13440013754072924,0.941797603565063,0.34447614877326216
ENSG00000008128,CDK11A,0.0721883053860916,-0.9350743232153351,0.008844750706625586,0.11839943234498902,0.43629389682119024,0.489825004900152,0.2416209965307455,1.4058577127960477,0.7026208748491004,0.2405055092834102,1.4114571148769883,0.06779573186248618
ENSG00000215790,SLC35E2A,0.02602136589498651,-0.4538231720162864,0.7200350537301925,0.031199850415233595,0.12401597196754643,1,0.06040524913268638,1.259671945946312,0.9926562090129465,0.05658953159609652,1.1276641488763972,0.46614328015973167
ENSG00000008130,NADK,0.09065508118253364,-0.1143367057446194,0.9783462620212172,0.09919952439715296,0.13379189445642448,0.962661972908775,0.06040524913268638,-0.43874860455812836,1,0.11317906319219304,0.36129763826963135,0.8776154823202597
ENSG00000078369,GNB1,0.5195879189998919,-0.0306117412917426,1,0.5655972882966706,0.1668826215794068,0.8525699190015397,0.18121574739805912,-1.492810338948574,0.9882315468745706,0.46686363566779626,-0.16086337425936736,1
ENSG00000231050,AL109917.1,0.0016787977996765488,0.06075000081347248,1,0.0015999923289863381,0.33190882360888097,1,0,2.426321815355763,1,0,1.9052717275399482,1
ENSG00000169885,CALML6,0.0004196994499191372,-0.676215593352735,1,0.0007999961644931691,1.0688744177750866,0.9383465407735475,0,3.6487142366922107,1,0,3.1276641488763977,1
