Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000238009,AL627309.1,0.0005515699036575325,-2.2833860294764996,1,0,3.627497902749921,1,0,3.073873717411076,1
ENSG00000241860,AL627309.5,0.003860989325602728,-0.9614579345891379,0.9761609574459715,0,1.212460403471077,1,0.0068226165137531235,1.7519456225237136,0.8387591941559541
ENSG00000286448,AP006222.2,0.00027578495182876625,-2.8683485301976557,1,0,4.212460403471077,1,0,3.6588362181322323,1
ENSG00000237491,LINC01409,0.004136774277431494,-2.4533110309188126,0.20373044834613177,0.0297688663349654,3.042535402028765,0.7821811449344442,0.013645233027506247,1.995871205409804,0.5164972737656877
ENSG00000177757,FAM87B,0.00027578495182876625,-2.8683485301976557,1,0,4.212460403471077,1,0,3.6588362181322323,1
ENSG00000228794,LINC01128,0.02895741994202046,1.274609423644387,0.39425746919970533,0,-1.542427098692392,1,0.013645233027506247,-0.48412173570981043,1
ENSG00000225880,LINC00115,0.00523991408474656,-1.8683485301976566,0.34345467300487514,0.019845910889976934,2.337991285554936,0.9830478323508958,0.013645233027506247,1.784367100216092,0.568070383597921
ENSG00000230368,FAM41C,0.0016547097109725977,-1.060993608140052,1,0,2.4051054814134734,1,0,1.8514812960746285,1
ENSG00000230699,AL645608.2,0.002757849518287663,-1.9938794122815153,0.4684347921439655,0,1.5120206853299845,1,0.013645233027506247,2.784367100216091,0.3066634820737116
ENSG00000241180,AL645608.4,0.00027578495182876625,-2.8683485301976557,1,0,4.212460403471077,1,0,3.6588362181322323,1
ENSG00000223764,LINC02593,0.019304946628013638,-1.040529505580337,0.4315698460289796,0.0595377326699308,1.8103619598997311,0.8416061013652456,0.02046784954125937,0.3920496774373312,1
ENSG00000187634,SAMD11,0.06398210882427377,0.08894701884810496,1,0.0595377326699308,0.10692598929871933,1,0.05458093211002499,-0.0721055884062034,1
ENSG00000188976,NOC2L,0.186430627436246,-1.4653365066226596,0.003091898074862495,0.5556855049193541,1.498455957748182,0.41896574720240254,0.48440577247647176,1.3110918314407332,0.05388517549929936
ENSG00000187961,KLHL17,0.010755613121321886,-1.3537753573678977,0.3410868774811003,0.019845910889976934,1.3379912855549358,1,0.027290466055012494,1.5884468902408342,0.40329106298048517
ENSG00000187583,PLEKHN1,0.005791483988404092,-1.9938794122815153,0.23590777399676827,0.0297688663349654,2.627497902749921,0.8294877309467265,0.013645233027506247,1.5999425290786649,0.6181971514164727
ENSG00000187642,PERM1,0.002757849518287663,-1.4089169115603593,0.865291355595099,0,1.627497902749921,1,0.0068226165137531235,2.199404599494934,0.7232348744587199
ENSG00000272512,AL645608.7,0.0013789247591438315,-1.2833860294764996,1,0,2.627497902749921,1,0,2.073873717411076,1
ENSG00000188290,HES4,0.2636504139483006,0.41931674017316145,0.8310623362164421,0.21830501978974626,-0.20502524681249046,1,0.17738802935758122,-0.5214413293079938,0.9691040074705907
